iter	Passed	Remaining
309	668151	10108490
310	670385	10107513
311	672534	10105258
312	674244	10096436
313	676516	10096035
314	678856	10096645
315	681003	10094362
316	683534	10097767
317	685690	10095603
318	687972	10095296
319	689935	10090302
320	691887	10085176
321	694170	10084876
322	696175	10080533
323	698151	10075789
324	699840	10066939
325	702004	10064939
326	703745	10056895
327	705885	10054563
328	708077	10052972
329	710145	10049634
330	712716	10053389
331	714788	10050103
332	717106	10050265
333	719177	10046953
334	721430	10046187
335	723216	10038933
336	725663	10040852
337	727605	10035793
338	729800	10034212
339	731805	10030036
340	734335	10033046
341	736649	10033076
342	738613	10028340
343	740576	10023615
344	742471	10017986
345	744477	10013872
346	746886	10015164
347	749154	10014552
348	751872	10019943
349	753662	10012949
350	755960	10012713
351	758152	10011053
352	760420	10010408
353	762713	10010081
354	764279	10000226
355	766517	9999176
356	767979	9988040
357	770273	9987742
358	772401	9985274
359	774681	9984782
360	776833	9982638
361	778992	9980571
362	781432	9982105
363	783887	9983797
364	786103	9982440
365	788301	9980839
366	790545	9979832
367	792725	9978004
368	794529	9971454
369	796407	9965855
370	798645	9964775
371	800723	9961688
372	802643	9956655
373	804536	9951300
374	806523	9947123
375	808998	9948954
376	811497	9951063
377	813522	9947360
378	815651	9944923
379	817925	9944248
380	820161	9943116
381	822157	9939069
382	823808	9930876
383	825785	9926633
384	827540	9919736
385	829845	9919454
386	832326	9921240
387	833832	9911430
388	835739	9906413
389	838062	9906333
390	840067	9902477
391	842359	9902017
392	845070	9906462
393	847214	9904243
394	849367	9902120
395	851917	9904613
396	854246	9904523
397	856521	9903801
398	858236	9896605
399	860459	9895289
400	862925	9896749
401	864924	9892843
402	866845	9888061
403	868882	9884618
404	870992	9882003
405	873261	9881193
406	875679	9882057
407	878001	9881815
408	880064	9878675
409	882855	9883670
410	885043	9881909
411	887325	9881184
412	889557	9879906
413	891898	9879823
414	894136	9878593
415	896495	9878692
416	898812	9878320
417	900814	9874483
418	902938	9871979
419	905089	9869786
